2026-01-31 01:12:47.201 | INFO     | anti_terror.video:open_video_source:9 - Opened video source: 0
2026-01-31 01:12:47.202 | INFO     | anti_terror.runner:__init__:139 - Pipeline initialized with face-centric tracking and database
2026-01-31 01:12:47.202 | INFO     | anti_terror.runner:run:391 - Starting face-centric pipeline. Press 'q' to exit.
2026-01-31 01:13:58.179 | INFO     | anti_terror.video:open_video_source:9 - Opened video source: 0
2026-01-31 01:13:58.179 | INFO     | anti_terror.runner:__init__:139 - Pipeline initialized with face-centric tracking and database
2026-01-31 01:13:58.179 | INFO     | anti_terror.runner:__init__:69 - Preview server started at http://localhost:8080
2026-01-31 01:13:58.180 | INFO     | anti_terror.runner:run:391 - Starting face-centric pipeline. Press 'q' to exit.
2026-01-31 01:14:06.731 | INFO     | anti_terror.face_tracker:match_or_create:146 - Created new identity P_0001 (best_match: None, score: 0.000)
2026-01-31 01:14:58.278 | INFO     | anti_terror.embeddings:match_or_create:407 - Created new ID B_0002 (strict mode, best_score was 0.479)
2026-01-31 01:15:20.503 | INFO     | anti_terror.embeddings:match_or_create:407 - Created new ID B_0003 (strict mode, best_score was 0.690)
2026-01-31 01:15:21.003 | INFO     | anti_terror.embeddings:match_or_create:407 - Created new ID B_0004 (strict mode, best_score was 0.588)
2026-01-31 01:15:45.229 | INFO     | anti_terror.face_tracker:match_or_create:146 - Created new identity P_0002 (best_match: P_0001, score: 0.172)
2026-01-31 01:16:00.736 | INFO     | anti_terror.runner:run:399 - Interrupted by user
2026-01-31 02:08:45.443 | INFO     | anti_terror.video:open_video_source:9 - Opened video source: 0
2026-01-31 02:08:45.444 | INFO     | anti_terror.runner:__init__:139 - Pipeline initialized with face-centric tracking and database
2026-01-31 02:08:45.444 | INFO     | anti_terror.runner:run:401 - Starting face-centric pipeline. Press 'q' to exit.
2026-01-31 02:08:50.808 | INFO     | anti_terror.face_tracker:match_or_create:146 - Created new identity P_0001 (best_match: None, score: 0.000)
2026-01-31 02:11:09.744 | INFO     | anti_terror.video:open_video_source:9 - Opened video source: 0
2026-01-31 02:11:09.744 | INFO     | anti_terror.runner:__init__:139 - Pipeline initialized with face-centric tracking and database
2026-01-31 02:11:09.744 | INFO     | anti_terror.runner:__init__:69 - Preview server started at http://localhost:8080
2026-01-31 02:11:09.744 | INFO     | anti_terror.runner:run:401 - Starting face-centric pipeline. Press 'q' to exit.
2026-01-31 02:11:14.239 | INFO     | anti_terror.face_tracker:match_or_create:146 - Created new identity P_0001 (best_match: None, score: 0.000)
2026-01-31 02:11:27.734 | INFO     | anti_terror.association:_update_carrying_ownership:261 - Bag None assigned to owner P_0001 (conf=0.43)
2026-01-31 02:11:28.289 | INFO     | anti_terror.association:_update_carrying_ownership:261 - Bag None assigned to owner P_0001 (conf=0.43)
2026-01-31 02:11:42.973 | WARNING  | anti_terror.behavior:update:164 - ABANDONED BAG: B_0001 (owner: P_0001, away: 10.1s, static: 14.2s)
